day,hour,temperature,traffic_volume
18,18,36,797
18,19,31,847
18,20,34,883
18,21,24,769
18,22,20,662
18,23,29,864
19,0,36,595
19,1,25,467
19,2,19,481
19,3,15,360
19,4,22,454
19,5,35,500
19,6,26,595
19,7,26,580
19,8,19,425
19,9,21,457
19,10,18,486
19,11,20,604
19,12,27,634
19,13,34,694
19,14,29,649
19,15,17,542
19,16,37,713
19,17,22,614
19,18,34,756
19,19,30,819
19,20,27,761
19,21,32,793
19,22,24,885
19,23,33,841
20,0,31,568
20,1,38,676
20,2,33,481
20,3,37,618
20,4,19,424
20,5,35,595
20,6,37,687
20,7,23,503
20,8,26,555
20,9,35,676
20,10,15,481
20,11,15,456
20,12,29,709
20,13,16,607
20,14,36,787
20,15,30,706
20,16,39,794
20,17,22,639
20,18,27,857
20,19,35,881
20,20,15,607
20,21,30,823
20,22,21,721
20,23,19,764
21,0,36,587
21,1,37,639
21,2,17,357
21,3,26,510
21,4,30,472
21,5,33,542
21,6,19,524
21,7,36,617
21,8,39,667
21,9,28,614
21,10,19,574
21,11,29,601
21,12,31,515
21,13,28,631
21,14,34,810
21,15,19,632
21,16,26,766
21,17,30,698
21,18,30,688
21,19,35,858
21,20,21,722
21,21,18,710
21,22,15,726
21,23,19,756
22,0,37,590
22,1,24,490
22,2,36,615
22,3,19,477
22,4,18,490
22,5,16,511
22,6,34,597
22,7,24,569
22,8,33,631
22,9,15,443
22,10,38,695
22,11,19,579
22,12,27,670
22,13,18,595
22,14,30,698
22,15,38,805
22,16,30,780
22,17,37,750
22,18,16,631
22,19,31,799
22,20,34,877
22,21,38,827
22,22,26,864
22,23,32,875
23,0,17,383
23,1,15,344
23,2,15,406
23,3,33,577
23,4,25,570
23,5,19,392
23,6,26,558
23,7,17,495
23,8,15,460
23,9,15,464
23,10,22,551
23,11,24,613
23,12,25,539
23,13,26,703
23,14,27,655
23,15,26,691
23,16,28,738
23,17,16,588
23,18,33,793
23,19,32,703
23,20,17,706
23,21,37,939
23,22,31,754
23,23,22,744
24,0,24,378
24,1,16,366
24,2,33,592
24,3,23,524
24,4,21,526
24,5,18,520
24,6,35,628
24,7,32,567
24,8,27,584
24,9,25,616
24,10,38,668
24,11,18,628
24,12,39,814
24,13,35,734
24,14,39,764
24,15,18,571
24,16,24,683
24,17,19,633
24,18,23,747
24,19,38,847
24,20,17,695
24,21,31,823
24,22,17,713
24,23,30,833
25,0,18,415
25,1,32,571
25,2,31,562
25,3,21,485
25,4,38,592
25,5,37,661
25,6,19,542
25,7,26,589
25,8,31,578
25,9,37,702
25,10,27,638
25,11,37,697
25,12,39,702
25,13,17,549
25,14,23,602
25,15,31,734
25,16,31,670
25,17,34,823
25,18,30,738
25,19,39,924
25,20,36,846
25,21,27,783
25,22,33,851
25,23,31,820
26,0,18,503
26,1,26,450
26,2,23,511
26,3,33,520
26,4,26,538
26,5,23,528
26,6,21,498
26,7,28,556
26,8,34,646
26,9,33,644
26,10,29,760
26,11,30,663
26,12,35,756
26,13,19,674
26,14,17,536
26,15,26,686
26,16,39,816
26,17,34,790
26,18,35,811
26,19,18,628
26,20,35,859
26,21,37,831
26,22,30,879
26,23,39,966
27,0,21,385
27,1,27,462
27,2,35,593
27,3,24,445
27,4,21,560
27,5,28,572
27,6,19,499
27,7,17,509
27,8,37,661
27,9,25,639
27,10,25,605
27,11,32,732
27,12,29,660
27,13,26,720
27,14,23,660
27,15,24,774
27,16,26,681
27,17,31,775
27,18,20,618
27,19,21,668
27,20,28,810
27,21,27,841
27,22,22,898
27,23,24,780
28,0,23,383
28,1,32,572
28,2,16,333
28,3,19,463
28,4,19,424
28,5,20,485
28,6,33,674
28,7,22,519
28,8,30,666
28,9,27,648
28,10,15,406
28,11,36,679
28,12,34,641
28,13,31,805
28,14,21,614
28,15,39,904
28,16,27,628
28,17,18,606
28,18,18,690
28,19,20,693
28,20,33,856
28,21,26,712
28,22,36,958
28,23,21,793
29,0,24,460
29,1,33,510
29,2,21,456
29,3,17,400
29,4,27,447
29,5,27,542
29,6,32,602
29,7,34,698
29,8,22,428
29,9,23,576
29,10,21,502
29,11,15,530
29,12,17,568
29,13,27,660
29,14,39,840
29,15,31,672
29,16,39,885
29,17,38,799
29,18,15,542
29,19,20,671
29,20,35,745
29,21,20,727
29,22,26,777
29,23,27,876
30,0,27,502
30,1,29,435
30,2,35,538
30,3,30,571
30,4,36,662
30,5,35,686
30,6,25,600
30,7,19,490
30,8,18,518
30,9,17,569
30,10,33,664
30,11,34,723
30,12,39,753
30,13,32,687
30,14,29,702
30,15,23,620
30,16,31,743
30,17,28,683
30,18,29,750
30,19,15,657
30,20,35,820
30,21,36,875
30,22,36,896
30,23,17,737
